Town,Crashes
Andover,51
Ansonia,355
Ashford,84
Avon,396
Barkhamsted,72
Beacon Falls,110
Berlin,739
Bethany,94
Bethel,474
Bethlehem,30
Bloomfield,807
Bolton,97
Bozrah,54
Branford,702
Bridgeport,6347
Bridgewater,33
Bristol,1631
Brookfield,442
Brooklyn,119
Burlington,109
Canaan,36
Canterbury,74
Canton,216
Chaplin,49
Cheshire,676
Chester,70
Clinton,245
Colchester,257
Colebrook,20
Columbia,80
Cornwall,40
Coventry,250
Cromwell,538
Danbury,3620
Darien,733
Deep River,84
Derby,468
Durham,122
East Granby,126
East Haddam,86
East Hampton,137
East Hartford,1784
East Haven,667
East Lyme,366
East Windsor,400
Eastford,31
Easton,154
Ellington,170
Enfield,789
Essex,74
Fairfield,2229
Farmington,1027
Franklin,74
Glastonbury,667
Goshen,43
Granby,168
Greenwich,2026
Griswold,156
Groton,876
Guilford,420
Haddam,153
Hamden,2070
Hampton,28
Hartford,7149
Hartland,17
Harwinton,113
Hebron,90
Kent,33
Killingly,377
Killingworth,71
Lebanon,100
Ledyard,185
Lisbon,120
Litchfield,214
Lyme,18
Madison,298
Manchester,1760
Mansfield,500
Marlborough,141
Meriden,2078
Middlebury,303
Middlefield,92
Middletown,1446
Milford,1503
Monroe,472
Montville,413
Morris,42
Naugatuck,621
New Britain,1792
New Canaan,515
New Fairfield,123
New Hartford,137
New Haven,7556
New London,943
New Milford,652
Newington,985
Newtown,964
Norfolk,23
North Branford,252
North Canaan,73
North Haven,1332
North Stonington,124
Norwalk,3710
Norwich,1408
Old Lyme,159
Old Saybrook,293
Orange,1095
Oxford,189
Plainfield,293
Plainville,640
Plymouth,235
Pomfret,70
Portland,154
Preston,154
Prospect,159
Putnam,218
Redding,199
Ridgefield,424
Rocky Hill,656
Roxbury,53
Salem,64
Salisbury,65
Scotland,24
Seymour,448
Sharon,50
Shelton,922
Sherman,54
Simsbury,389
Somers,125
South Windsor,471
Southbury,532
Southington,1212
Sprague,32
Stafford,151
Stamford,4710
Sterling,27
Stonington,463
Stratford,1813
Suffield,248
Thomaston,240
Thompson,143
Tolland,270
Torrington,882
Trumbull,1190
Union,64
Vernon,824
Voluntown,37
Wallingford,1374
Warren,10
Washington,61
Waterbury,5865
Waterford,621
Watertown,442
West Hartford,1875
West Haven,1873
Westbrook,147
Weston,67
Westport,1376
Wethersfield,953
Willington,125
Wilton,541
Winchester,275
Windham,500
Windsor,1242
Windsor Locks,387
Wolcott,262
Woodbridge,333
Woodbury,148
Woodstock,99
