town,Daylight,Dawn,Dusk,Dark_Lighted,Dark_Not_Lighted,Dark_Unknown_Lighting,Other,Unknown
Andover,39,2,2,4,21,0,0,0
Ansonia,372,5,8,113,32,8,3,1
Ashford,66,3,1,9,34,0,0,1
Avon,439,3,2,84,40,4,0,3
Barkhamsted,67,2,1,9,26,0,0,1
Beacon Falls,118,4,4,15,36,3,0,1
Berlin,783,11,16,236,37,4,5,3
Bethany,106,1,2,13,20,0,0,1
Bethel,521,11,15,79,78,6,2,3
Bethlehem,28,1,0,1,18,0,0,0
Bloomfield,838,8,8,217,56,3,3,11
Bolton,91,2,1,9,22,0,0,1
Bozrah,54,3,0,4,18,0,1,0
Branford,817,4,17,171,78,6,2,0
Bridgeport,6545,62,100,2765,212,95,14,92
Bridgewater,28,0,1,3,16,0,0,0
Bristol,1831,20,33,520,70,3,2,10
Brookfield,484,5,5,84,63,0,1,1
Brooklyn,131,1,3,15,30,0,0,0
Burlington,102,0,0,14,41,1,1,0
Canaan,39,0,0,0,12,0,1,0
Canterbury,68,1,1,5,25,0,0,0
Canton,234,3,5,37,37,3,0,5
Chaplin,54,0,1,5,14,0,0,0
Cheshire,725,18,22,175,44,4,0,2
Chester,64,2,3,4,21,1,0,2
Clinton,266,5,11,46,43,5,0,6
Colchester,276,4,6,27,76,1,0,1
Colebrook,20,2,1,3,6,0,0,1
Columbia,83,0,3,19,16,0,0,0
Cornwall,40,0,0,1,11,0,0,0
Coventry,202,6,10,50,81,2,0,6
Cromwell,577,5,10,154,49,1,1,18
Danbury,3693,26,76,1065,361,28,4,90
Darien,778,4,11,229,27,4,0,5
Deep River,81,2,2,13,22,0,0,1
Derby,552,7,9,136,20,1,0,1
Durham,150,1,5,12,24,0,1,1
East Granby,122,1,5,18,24,0,0,2
East Haddam,97,0,4,7,38,1,0,0
East Hampton,154,1,6,32,17,1,0,0
East Hartford,1775,23,45,632,71,23,4,18
East Haven,722,7,16,226,26,20,1,1
East Lyme,426,5,2,68,52,1,0,2
East Windsor,412,5,7,128,34,2,1,1
Eastford,24,1,0,3,10,0,0,0
Easton,155,8,5,5,47,0,0,1
Ellington,169,1,3,32,45,0,0,2
Enfield,910,6,21,261,41,3,0,17
Essex,84,0,3,8,12,0,0,1
Fairfield,2234,33,55,512,223,9,1,31
Farmington,1106,9,19,272,80,4,3,10
Franklin,77,1,0,4,24,0,0,0
Glastonbury,722,7,16,144,87,1,1,0
Goshen,36,2,0,6,19,0,0,2
Granby,170,9,5,24,39,0,0,3
Greenwich,2182,14,29,440,136,4,1,13
Griswold,174,5,1,11,48,1,0,0
Groton,924,16,18,270,48,4,1,16
Guilford,484,3,10,74,76,3,0,0
Haddam,150,3,4,17,53,0,0,1
Hamden,2248,7,38,643,136,8,2,35
Hampton,29,0,2,1,5,0,0,1
Hartford,7001,83,172,2789,268,109,27,11
Hartland,17,0,2,1,5,0,0,0
Harwinton,130,0,3,8,30,1,0,0
Hebron,86,1,1,13,29,0,0,0
Kent,40,0,1,4,9,0,0,0
Killingly,379,5,8,56,96,1,1,5
Killingworth,73,1,1,1,36,0,1,0
Lebanon,81,4,1,10,54,0,1,0
Ledyard,165,6,3,32,42,0,0,1
Lisbon,128,1,3,23,25,0,6,0
Litchfield,258,5,5,22,43,0,0,1
Lyme,16,0,0,2,7,0,0,0
Madison,406,1,5,27,39,0,0,0
Manchester,1870,13,40,577,51,14,9,8
Mansfield,469,2,11,101,100,0,0,16
Marlborough,142,2,0,22,51,1,0,1
Meriden,2246,22,79,610,189,17,1,25
Middlebury,326,5,8,44,61,1,0,2
Middlefield,88,1,3,31,8,0,0,0
Middletown,1624,16,38,355,104,4,3,25
Milford,1430,9,35,534,102,5,2,10
Monroe,473,15,18,47,104,1,0,0
Montville,434,8,10,109,59,5,13,9
Morris,35,1,0,1,21,0,0,0
Naugatuck,652,6,11,200,49,13,6,19
New Britain,1674,28,61,717,109,37,6,82
New Canaan,581,5,5,48,55,3,2,2
New Fairfield,122,4,4,19,31,0,0,1
New Hartford,133,0,4,17,47,0,0,1
New Haven,7727,68,186,2825,280,132,20,161
New London,1071,11,23,323,29,11,18,3
New Milford,669,6,18,89,154,2,0,3
Newington,1063,8,35,296,24,2,2,0
Newtown,987,7,31,139,183,3,1,1
Norfolk,22,1,0,5,10,0,0,0
North Branford,267,2,6,72,15,0,0,0
North Canaan,86,1,0,7,13,0,0,1
North Haven,1438,14,20,331,109,6,5,4
North Stonington,119,3,1,19,49,0,0,1
Norwalk,3821,28,53,1040,181,25,17,139
Norwich,1470,19,36,459,118,6,12,31
Old Lyme,187,3,1,6,42,0,1,0
Old Saybrook,387,11,7,40,23,1,0,0
Orange,1163,9,26,181,205,2,1,7
Oxford,206,4,9,17,55,2,1,0
Plainfield,306,2,5,63,81,2,0,0
Plainville,662,11,17,197,41,4,1,1
Plymouth,221,3,8,60,34,2,0,6
Pomfret,69,1,1,0,24,0,0,0
Portland,198,0,2,46,4,1,1,0
Preston,128,2,5,35,46,0,2,2
Prospect,155,1,10,40,27,0,0,0
Putnam,183,3,8,38,49,1,0,1
Redding,207,4,2,9,70,0,0,2
Ridgefield,480,5,12,65,56,2,1,2
Rocky Hill,637,11,8,221,22,4,2,4
Roxbury,52,0,3,2,17,0,0,1
Salem,71,0,2,10,12,0,0,0
Salisbury,81,0,0,4,25,0,0,2
Scotland,24,1,2,2,7,0,0,0
Seymour,408,8,11,114,88,0,0,4
Sharon,48,2,2,2,19,0,0,1
Shelton,934,8,23,242,122,1,0,4
Sherman,49,0,3,0,21,2,0,1
Simsbury,394,3,9,71,64,2,1,1
Somers,122,1,2,27,30,1,0,0
South Windsor,531,9,12,111,28,1,0,0
Southbury,549,7,7,76,108,4,0,10
Southington,1287,12,35,340,116,4,2,3
Sprague,31,2,1,5,6,0,0,1
Stafford,152,2,5,28,44,0,1,1
Stamford,5072,30,136,1426,232,31,6,63
Sterling,25,0,1,1,18,0,0,1
Stonington,492,6,7,101,68,0,1,1
Stratford,1914,16,52,571,97,22,3,30
Suffield,243,4,10,46,43,1,0,1
Thomaston,263,6,2,46,58,1,0,1
Thompson,143,3,2,15,60,3,0,0
Tolland,250,6,8,34,77,2,0,2
Torrington,954,10,31,217,64,17,0,8
Trumbull,1309,11,32,239,120,6,3,7
Union,52,2,1,5,32,0,0,0
Vernon,928,4,17,257,52,6,1,6
Voluntown,41,1,0,2,13,0,0,0
Wallingford,1470,23,37,319,182,4,1,11
Warren,12,0,2,2,1,0,0,0
Washington,72,2,3,3,23,0,0,0
Waterbury,6042,40,115,2213,416,59,19,120
Waterford,703,7,14,137,53,4,1,1
Watertown,452,5,8,92,91,4,0,2
West Hartford,2009,10,24,572,36,11,6,12
West Haven,1925,12,35,747,73,16,3,35
Westbrook,162,3,3,11,31,0,0,0
Weston,62,0,3,4,12,0,0,0
Westport,1470,9,26,281,120,18,3,10
Wethersfield,960,15,19,317,18,2,1,10
Willington,100,2,5,22,60,0,0,0
Wilton,593,7,9,42,116,1,1,2
Winchester,254,3,7,70,34,0,0,2
Windham,558,3,16,157,36,6,2,2
Windsor,1178,11,16,461,42,12,2,30
Windsor Locks,336,3,14,157,17,2,2,1
Wolcott,245,4,11,56,64,5,0,2
Woodbridge,369,7,4,39,46,8,3,1
Woodbury,152,1,4,12,43,2,0,0
Woodstock,89,1,2,5,42,1,0,0
