Town,M,F
Andover,104,62
Ansonia,779,656
Ashford,136,106
Avon,730,700
Barkhamsted,159,89
Beacon Falls,255,141
Berlin,1616,1306
Bethany,189,144
Bethel,967,807
Bethlehem,52,39
Bloomfield,1547,1307
Bolton,177,124
Bozrah,88,60
Branford,1594,1343
Bridgeport,13904,10729
Bridgewater,53,41
Bristol,3505,2999
Brookfield,961,821
Brooklyn,275,207
Burlington,213,166
Canaan,59,38
Canterbury,129,96
Canton,392,379
Chaplin,86,79
Cheshire,1526,1238
Chester,132,64
Clinton,472,374
Colchester,552,466
Colebrook,38,20
Columbia,156,140
Cornwall,50,41
Coventry,362,284
Cromwell,1132,948
Danbury,7564,5991
Darien,1982,1553
Deep River,122,110
Derby,993,814
Durham,271,198
East Granby,270,166
East Haddam,180,107
East Hampton,277,212
East Hartford,3855,3018
East Haven,1438,1170
East Lyme,874,738
East Windsor,911,571
Eastford,52,29
Easton,262,214
Ellington,368,273
Enfield,1755,1573
Essex,135,123
Fairfield,4432,3611
Farmington,2003,1822
Franklin,149,118
Glastonbury,1408,1273
Goshen,71,47
Granby,324,240
Greenwich,4493,3278
Griswold,341,279
Groton,1861,1377
Guilford,840,756
Haddam,298,211
Hamden,4137,3681
Hampton,48,24
Hartford,17198,13318
Hartland,23,15
Harwinton,217,153
Hebron,176,155
Kent,71,49
Killingly,738,598
Killingworth,157,107
Lebanon,169,113
Ledyard,373,295
Lisbon,242,188
Litchfield,462,338
Lyme,28,21
Madison,648,570
Manchester,3743,3415
Mansfield,872,794
Marlborough,288,181
Mashantucket,0,1
Meriden,5450,4478
Middlebury,655,513
Middlefield,213,120
Middletown,3669,3017
Milford,4054,3261
Monroe,940,740
Montville,902,724
Morris,57,49
Naugatuck,1239,987
New Britain,3578,2908
New Canaan,949,855
New Fairfield,251,177
New Hartford,259,197
New Haven,16994,13581
New London,2042,1715
New Milford,1400,1121
Newington,2059,1822
Newtown,2058,1582
Norfolk,51,22
North Branford,529,401
North Canaan,137,79
North Haven,2876,2380
North Stonington,305,230
Norwalk,7733,5709
Norwich,2863,2494
Old Lyme,408,298
Old Saybrook,625,587
Orange,2303,2025
Oxford,370,262
Plainfield,659,506
Plainville,1349,1130
Plymouth,411,277
Pomfret,117,83
Portland,405,251
Preston,329,254
Prospect,340,247
Putnam,355,307
Redding,323,242
Ridgefield,856,738
Rocky Hill,1445,1113
Roxbury,78,69
Salem,137,74
Salisbury,140,98
Scotland,37,25
Seymour,846,640
Sharon,62,58
Shelton,1916,1533
Sherman,72,55
Simsbury,742,735
Somers,247,192
South Windsor,1076,794
Southbury,1058,793
Southington,2582,2211
Sprague,64,35
Stafford,279,225
Stamford,12473,8984
Sterling,56,36
Stonington,967,770
Stratford,3883,3117
Suffield,459,369
Thomaston,434,339
Thompson,274,186
Tolland,549,412
Torrington,1511,1240
Trumbull,2521,2314
Union,134,60
Vernon,1887,1640
Voluntown,90,43
Wallingford,2899,2216
Warren,20,13
Washington,113,75
Waterbury,12542,9564
Waterford,1333,1178
Watertown,914,710
West Hartford,3845,3845
West Haven,3951,3009
Westbrook,288,224
Weston,109,92
Westport,3083,2503
Wethersfield,1963,1648
Willington,264,165
Wilton,1105,914
Winchester,517,393
Windham,1142,949
Windsor,2617,1865
Windsor Locks,786,534
Wolcott,439,319
Woodbridge,673,603
Woodbury,275,265
Woodstock,148,102
